timestamp,prices,market_caps,total_volumes
1597363200000,15.372107881166139,0.0,762184.8300905444
1597449600000,11.098252145801236,5940563.053718344,25022924.77542766
1597536000000,6.81745437700473,41630574.274827115,155037476.6800498
1597622400000,5.797371514549021,44794053.7963943,71821858.84172975
1597708800000,4.361293235935836,46840611.63811858,86120516.31300251
1597795200000,3.5932797061560944,44275668.52350846,78858181.74113157
1597881600000,3.897011656809106,36788884.76007124,111048100.53172652
1597968000000,3.856624534253476,40900867.48710023,60370314.67278366
1598054400000,3.22054378139265,38951582.14510654,52852148.186553776
1598140800000,3.070244936766333,40667175.96933411,35355625.665719956
1598227200000,2.675577639306899,38363470.200451285,29082090.966391515
1598313600000,2.883041799563356,52751620.9817723,53988196.749105185
1598400000000,2.8713088895949537,54907134.54647974,69187311.47338821
1598486400000,3.638839138694363,77637789.37054637,128881820.00287758
1598572800000,3.372152604168745,76188310.67287979,131258583.24980019
1598659200000,3.5253878029430408,80228087.14784808,78335579.78489663
1598745600000,3.114181097550142,74149348.78240336,77418243.48871629
1598832000000,3.561222385143079,87349019.09286463,122451590.36850303
1598918400000,4.2786697359671235,110420256.10295033,137684182.84729487
1599004800000,5.442919545973741,159531783.5038674,417153537.36231095
1599091200000,4.379681763158318,131025408.22490095,238361349.85481545
1599177600000,2.938884727337787,91118553.72497492,182594915.2096478
1599264000000,2.8888777874239575,100216428.98177099,126410658.08361354
1599350400000,1.8971189142845633,66271232.77453038,106354650.55811064
1599436800000,2.1675576108630454,79932331.56647798,121878714.53823785
1599523200000,2.089280428143461,77339803.16994514,80001370.61937323
1599609600000,1.842982964084058,73821252.94603421,58742924.876223676
1599696000000,1.9666417397771954,81126920.56255049,79225663.29612717
1599782400000,1.9616299344739132,83000780.6338245,89914525.3059276
1599868800000,1.90031070407018,85532702.996547,74042950.53842232
1599955200000,2.069418696151444,94473620.48591365,107339493.00094612
1600041600000,1.908104601878919,89617543.31037937,87449397.21690361
1600128000000,1.8413094601114162,87435893.58449799,59739902.93911181
1600214400000,1.4086023796572775,70998917.54935807,65058596.82582447
1600300800000,1.2872052760150907,66223534.6157905,73286345.86067696
1600387200000,1.327112169483192,69710029.94600278,58110930.25379123
1600473600000,1.2540068075125592,69192047.98727213,86382862.97981066
1600560000000,1.4824253885976832,82092467.28421783,134545915.7108473
1600646400000,1.3612811589484686,76331140.27722546,137332532.33479095
1600732800000,1.103994423597656,62924273.481992885,109368286.07664354
1600819200000,1.0765786394625256,63588318.995958425,65216636.2779937
1600905600000,0.8868021886486478,53670905.19454834,52132941.23269387
1600992000000,0.9926799383553297,60039853.12621696,46814118.501056425
1601078400000,0.9707729121307858,60958744.100026995,61851919.711659685
1601164800000,1.1148665007964185,70668958.84098735,75019133.64388986
1601251200000,1.0375966483190577,66213331.75867991,64133528.353771836
1601337600000,1.0049665880382586,64894489.95899538,54733618.52694035
1601424000000,0.9489870337842393,63727790.95487212,40262618.750636525
1601510400000,0.9462620604431676,64506604.81579068,37747206.82458573
1601596800000,0.8642540140816396,59611825.04820584,46535393.17813313
1601683200000,0.7625371667545962,54213110.89212689,49222438.69584022
1601769600000,0.7628594827775792,54756059.60828987,37932637.79133793
1601856000000,0.6980990450398532,51403390.07770329,39058595.70186202
1601942400000,0.6302535839980867,46496561.130261905,46828497.415135056
1602028800000,0.506160668959514,39406374.106964335,51284036.145220704
1602115200000,0.5218554017564769,41062086.60687744,57182571.47840831
1602201600000,0.5535589907544259,43939017.22572509,53235816.6066712
1602288000000,0.6285305752527417,51430317.54328442,59221388.798822
1602374400000,0.5576790244936048,45837450.58593787,40789733.52972278
1602460800000,0.5592856292366106,46426073.83345302,31310513.974598072
1602547200000,0.5702847419824588,47987191.56356613,29745132.56215601
1602633600000,0.5454908239241394,47504936.218014695,23822222.271145504
1602720000000,0.5064081917145135,44484356.66745618,40228581.45501377
1602806400000,0.4969614552077919,44628556.81741601,23814239.584046464
1602892800000,0.429753469501331,40525999.77063319,28069120.31989543
1602979200000,0.4374042743876636,41167719.30112859,23857587.12849831
1603065600000,0.45658920309333834,44075475.3691973,19520044.72056072
1603152000000,0.41361995723897327,40310699.5091555,24165730.16683976
1603238400000,0.35977730637621136,36269281.82320652,27583529.166018665
1603324800000,0.3799933659549835,38074811.050715424,24813546.16554355
1603411200000,0.4080761624739565,40891632.99560061,25585181.889237624
1603497600000,0.37781283126551307,38069036.6851532,20071018.748451605
1603584000000,0.3743729324508039,37727107.363731794,24678957.67057129
1603670400000,0.3375322563839597,34425995.750018865,19538035.042394266
1603756800000,0.40979585103456156,42056570.61010746,53712860.51203817
1603843200000,0.6427959376591811,62829401.14514552,127956129.58834447
1603929600000,0.4925634047844378,51082028.714181684,75601528.00127234
1604016000000,0.44387615369227545,46388646.28137562,50093430.30112126
1604102400000,0.3944214565242612,41175171.49502256,38496336.34043306
1604188800000,0.416531189693215,43508746.71159239,28467418.4513115
1604275200000,0.40098459252806745,42153505.143327385,18750016.796977818
1604361600000,0.3609961311154639,38650564.882773064,21478798.72229736
1604448000000,0.3563276094423439,39034369.795144364,19478367.53562119
1604534400000,0.3425305379073603,36793892.68425592,16656483.069287103
1604620800000,0.362875931515096,39110338.114314176,23277831.765911747
1604707200000,0.43585567431245664,47984280.503793634,30397279.656510312
1604793600000,0.4273563121726544,47571612.62322028,57190118.885905065
1604880000000,0.47107410359886115,52954813.825814046,33154509.907961942
1604966400000,0.4504499688091467,50998840.22052225,32479308.666509602
1605052800000,0.5630742812167949,63238765.73716631,55816300.11048092
