timestamp,prices,market_caps,total_volumes
1577836800000,7195.153895430029,130394101535.60994,21187883711.18498
1577923200000,7193.7546679601,130422953817.668,18123516838.8979
1578009600000,6963.853353983485,126280790200.20206,20313194628.09452
1578096000000,7300.34693530511,132766262579.09486,31015776262.21867
1578182400000,7351.377053166627,133474716218.18333,20611640058.34164
1578268800000,7349.972248050628,133388991086.87987,21929224570.56102
1578355200000,7734.675515785289,140557168287.4443,28148518761.51164
1578441600000,8147.415237636371,147798610895.50055,34823187724.289955
1578528000000,8045.789124592971,146089575425.2795,39971512000.06816
1578614400000,7832.795643840387,141913856953.47913,29276053440.88472
1578700800000,8180.513169803805,146879934259.3087,35777298156.26295
1578787200000,8012.085781814529,145561586658.57422,31504583511.03613
1578873600000,8171.401185320944,148204228775.38776,27533390875.51989
1578960000000,8110.647964503772,147446058196.45944,27962176780.628242
1579046400000,8801.871213137745,159481192213.82108,55384169405.51928
1579132800000,8820.85010599613,159960761751.8495,48160401007.254
1579219200000,8720.91950137424,158412991117.64667,36462155571.2176
1579305600000,8902.568995225329,161848747742.1508,41671910798.34088
1579392000000,8906.902675151074,161823609428.34625,36801813631.51236
1579478400000,8690.380569544623,157906057309.30655,39242297095.94223
1579564800000,8631.253954333763,156848009983.54858,29527689342.88548
1579651200000,8724.818622931474,158564958350.98007,27057681779.746685
1579737600000,8665.436914096897,157502652064.02246,25628542094.50134
1579824000000,8415.956027335538,152984928858.5764,30696020541.207973
1579910400000,8432.096675789418,153294353936.51035,30691734305.128674
1579996800000,8348.665665079325,151794495723.25214,26582198966.298725
1580083200000,8595.728298493115,156302144661.30927,30241155463.270596
1580169600000,8879.335548714553,161473602737.4275,39661537339.92209
1580256000000,9320.805853868467,169518428144.8912,49812761504.1306
1580342400000,9276.893821086494,168738228801.50467,47273353143.75747
1580428800000,9509.80513557522,172993102966.37723,51037775414.9802
1580515200000,9308.060285564778,169340144566.23718,50102814005.68021
1580601600000,9363.22420680057,170361167834.16483,48307978233.84802
1580688000000,9338.416631939404,169926610304.08496,55025402183.682236
1580774400000,9308.91270229121,169406963182.6937,56824765307.81458
1580860800000,9179.95928107711,167075369075.11478,55377658455.62325
1580947200000,9592.18387389791,174596806174.2994,65675565620.91084
1581033600000,9744.636578159387,177388314197.5645,71141695218.03949
1581120000000,9799.448455824684,178414902529.15167,69495711755.62915
1581206400000,9890.701658194865,180081607384.42255,71561797135.19986
1581292800000,10148.379719131783,184792100015.16357,78110955304.52135
1581379200000,9890.121224019967,180145850760.05313,81406687324.35088
1581465600000,10226.925769215322,186262984851.99295,38930644711.90421
1581552000000,10328.897565836414,188132988212.86746,45456624047.83392
1581638400000,10221.260309201634,186190344916.03287,54151236617.55855
1581724800000,10320.157140513991,187680301470.73926,50206573483.049774
1581811200000,9894.136123789158,180265718400.57037,51460340288.898056
1581897600000,9943.673602578743,181221481668.7407,42364906261.0548
1581984000000,9723.605026422496,176547652266.39673,48517591137.467995
1582070400000,10133.817417084678,184918071499.10074,54648014949.72496
1582156800000,9618.409248250406,175312937106.92148,50502739123.75383
1582243200000,9608.16918128246,174871048291.16623,53579139400.80847
1582329600000,9673.011800270346,176701844101.55685,37678167400.71924
1582416000000,9658.606058375473,176097270350.4831,32555342237.084362
1582502400000,9946.716123467522,181368043820.09412,38743680759.32858
1582588800000,9670.9608064677,175872097740.40662,41928789500.12296
1582675200000,9345.342701734848,170478976467.6238,39441760776.318504
1582761600000,8801.657129472504,160731785487.8149,45140119229.636024
1582848000000,8781.175282202359,160149975301.41962,43045469000.97675
1582934400000,8717.331431359424,159030381910.26715,41297721067.30182
1583020800000,8552.989118581636,156047250857.11172,33291626663.006737
1583107200000,8567.802248679225,155934421965.2728,34310775733.322155
1583193600000,8905.876104262194,162521881368.8758,59776629742.57125
1583280000000,8756.718576742549,159816567727.14258,68336042797.3885
1583366400000,8758.646993191916,159869936941.09732,38832067216.87788
1583452800000,9038.870323233425,165070261612.788,38122635173.15044
1583539200000,9135.84506603321,166791067805.42844,41388087588.44269
1583625600000,8902.20195010789,162543409238.00458,36764763103.12236
1583712000000,8041.365538071835,147076617271.6885,39132209137.697235
1583798400000,7921.33200691072,144664117909.4077,45678665163.11017
1583884800000,7906.731528510632,144410718987.88852,40882213633.94649
1583971200000,7935.522040170545,144948460093.29614,38689036552.81125
1584057600000,5142.990459018316,93092131086.97026,50009548492.07486
1584144000000,5542.819542373153,101262945297.35811,74329688818.10397
1584230400000,5214.189112383918,95216478864.65564,36054625746.82817
1584316800000,5397.93335743919,98632587514.00247,32985693209.74783
1584403200000,5032.501351487721,91962797384.28253,44034438467.966835
1584489600000,5389.41577503409,98079756006.79294,36007089253.822556
1584576000000,5376.280747845438,98259998309.05324,37618067230.41405
1584662400000,6170.200600237675,112778383593.49141,48056214948.15649
1584748800000,6195.603505257629,113030383272.51407,50936770688.25396
1584835200000,6145.770891252399,112349835902.32983,40189198131.46317
1584921600000,5859.647430299388,107128564670.89128,37255748385.30394
1585008000000,6456.347485963419,118046727572.5451,45578824447.64577
1585094400000,6730.173782371188,123064256188.85924,45846522059.373184
1585180800000,6695.9006183977235,122445336599.19923,42082295491.03078
1585267200000,6765.56207892991,123732739823.4625,34840544710.10888
1585353600000,6397.826328325604,117019679177.81361,32910551599.472366
1585440000000,6255.000398693634,114171796491.49913,35231848358.55144
1585526400000,5915.337154791903,108551603303.50957,25923471292.176422
1585612800000,6403.141235565223,117151628726.53436,34907149977.57921
1585699200000,6421.70541388854,117750205634.39989,32287674952.1782
