timestamp,prices,market_caps,total_volumes
1577836800000,129.18638529253852,14097451631.783957,7103187150.687103
1577923200000,130.4846850311141,14230588104.281237,6623732040.964472
1578009600000,127.04525801179804,13859793329.814827,6497297884.22486
1578096000000,133.70264861844188,14613194775.854177,9655245099.720835
1578182400000,134.1368826978575,14636213160.069315,6958393690.018681
1578268800000,135.00571364233375,14738834254.266087,7260645128.406949
1578355200000,143.80639795566535,15692578635.119993,9514201882.396584
1578441600000,143.019432264986,15656491188.064734,9440938787.519835
1578528000000,140.27393527388705,15364547561.67077,10095847759.294762
1578614400000,137.86055928182662,14998595868.023438,7280640218.292043
1578700800000,144.6047743464792,15647071448.436348,10273370788.312328
1578787200000,142.18233327497873,15564837467.520994,9737605323.282524
1578873600000,145.42287633530452,15859031094.44091,8488793477.5950365
1578960000000,143.58796905036286,15715287657.358463,8019794567.486078
1579046400000,165.99143854583525,18075462340.568443,18970204899.197784
1579132800000,166.2530969048888,18104742352.015366,17862385531.73745
1579219200000,163.80590111423027,17869543294.566414,14605493158.53319
1579305600000,171.15621787671842,18727969032.79025,15915322019.78247
1579392000000,174.23837318258896,19138755594.52358,15808136411.02366
1579478400000,166.6271059505621,18220366702.244606,14003433869.000366
1579564800000,166.93852805776982,18243871990.6739,10983216126.222286
1579651200000,169.27993585839258,18460475135.804626,8267420452.9121065
1579737600000,167.8265296405669,18358377435.95901,8809189828.884594
1579824000000,162.51937110634034,17722969842.693172,9017537604.34573
1579910400000,162.40947975163584,17777723072.283943,11043498594.604164
1579996800000,160.6736108617405,17587666193.195988,8673816085.484137
1580083200000,167.6474095857562,18279197138.315884,10518901915.39258
1580169600000,169.7364357354222,18576520021.386745,12435457692.695446
1580256000000,175.19000305345378,19212409346.36024,14300512538.139254
1580342400000,173.70688823620796,19140249467.28951,15565369994.796808
1580428800000,184.72621843141044,20090242968.224346,18170945326.39071
1580515200000,179.22910385240368,19751392940.997242,18506953476.934044
1580601600000,183.33693755210257,20079997942.89275,19083817630.29935
1580688000000,188.55064179431113,20619310835.276108,21543158277.49522
1580774400000,189.86176346298166,20791014743.301926,23519056716.26084
1580860800000,188.84220736948276,20665245888.10715,21734656893.64477
1580947200000,203.8593183747095,22414850796.683693,27708721578.171207
1581033600000,212.73341421352782,23314707733.86607,30730370695.67516
1581120000000,223.27631974791998,24407934017.312393,34073387340.7219
1581206400000,223.30077697426225,24478412143.01876,35852075948.97941
1581292800000,228.29226083217347,25011126326.73704,37065973224.819984
1581379200000,224.14699652028605,24577280465.17777,40180881296.506096
1581465600000,236.78534852972567,25966283262.662064,17260236147.946793
1581552000000,264.03276824299627,29001954205.996136,25083848405.774593
1581638400000,267.6704445042514,29312880235.867893,31919298278.23887
1581724800000,284.2318914741183,31059453816.69378,32486783383.59592
1581811200000,263.8999463915962,28909877146.05339,31021139510.840595
1581897600000,262.1562443168135,28746450516.039288,26307305450.095947
1581984000000,267.9356656159883,29075052114.63163,28621805406.267815
1582070400000,281.9457403055278,31034929114.66128,33038477053.26572
1582156800000,259.1838037480287,28662558273.135616,24634102799.07547
1582243200000,257.9883953048601,28258309183.25315,34355959852.746918
1582329600000,265.1644591338591,29114570356.366127,18672669187.760765
1582416000000,260.99654013152536,28657670954.134422,14860160863.37393
1582502400000,274.6312157785517,30135977087.940575,15734092874.96997
1582588800000,265.2421912203732,28974292556.854683,21019871769.54907
1582675200000,248.31738139395102,27274600634.783813,15216321566.877127
1582761600000,224.81050829744677,24823014146.598347,20470479538.054836
1582848000000,225.42971511683754,24879553838.25944,23994578699.806026
1582934400000,227.70528448376498,25137364865.97101,19715536659.914295
1583020800000,218.34835692985286,24105658618.96741,13967572974.821035
1583107200000,218.93979697447656,24049874527.90718,16557363028.554333
1583193600000,231.67944604592213,25392608994.495888,18301098060.91034
1583280000000,223.96011601810258,24709361638.74632,19133763158.937866
1583366400000,224.13487737180202,24635535324.34428,14844945103.395332
1583452800000,228.0809351016884,25072941968.371387,16056678004.768778
1583539200000,244.23846951978683,26861442576.626507,16938887970.316448
1583625600000,237.38079020191347,26199142579.509506,15033855133.023136
1583712000000,198.81964228768578,22145350491.45419,18839637103.648037
1583798400000,200.84687148188746,22001125399.41239,17900321700.644154
1583884800000,200.74903854851766,22178131746.591427,10622282127.512653
1583971200000,194.21794124025206,21375073649.951973,14699687559.439268
1584057600000,110.5978978308351,11956631650.303354,17357843633.111378
1584144000000,132.57285770180832,14567054564.19822,24412190319.85676
1584230400000,123.030844108903,13505998666.239887,8678897518.712492
1584316800000,124.60342553062202,13756072458.523424,10971643911.795376
1584403200000,110.99159845334059,12178760413.015514,11161656313.89003
1584489600000,117.21704138518466,12991193734.51619,10514054745.732649
1584576000000,117.7004246469663,12900856057.87349,9829287702.00789
1584662400000,136.81187578973578,15068113354.89011,13910341816.437582
1584748800000,131.96469397290025,14451395504.502293,16267979993.668526
1584835200000,131.94321845316688,14575207631.098148,12633534610.010733
1584921600000,122.5205987665882,13499834314.773163,10177508398.873247
1585008000000,135.58865798037067,14944699607.313162,11596650460.730272
1585094400000,138.77657127268222,15385255695.77982,12119249137.978954
1585180800000,136.23392142176775,15020580578.564753,10616935307.838089
1585267200000,138.76693759902926,15277363230.972204,7749490793.658535
1585353600000,130.2865618875773,14958737456.74538,10183491264.54011
1585440000000,131.42405214081145,14468066254.835968,11067855577.856102
1585526400000,125.31887451568916,13819843925.360764,7718875104.828544
1585612800000,132.36373895414985,14615131244.892355,8469234427.790874
1585699200000,133.2364468438201,14699970260.177477,7869741296.803818
