timestamp,prices,market_caps,total_volumes
1600300800000,3.443832391414463,219913212.47869825,1802085330.293668
1600387200000,3.443832391414463,219913212.47869825,1802085330.293668
1600473600000,7.097694014200204,732822061.0330778,5688408416.882498
1600560000000,5.702060553834949,647208421.0707141,2050756493.492213
1600646400000,5.2565793825170735,632421347.516945,1316669226.584856
1600732800000,4.294819485815088,526520586.45950305,1074198632.0904953
1600819200000,3.9084488115362754,487186362.8207511,697928916.822781
1600905600000,4.342896875450136,558449301.5904285,976430280.4460803
1600992000000,5.138560549020833,670712373.8758416,776760499.8672208
1601078400000,4.908146351132067,646853075.535181,626823584.8121408
1601164800000,4.868443821195302,691125372.1503159,363925152.74854934
1601251200000,4.8449853913098195,689402232.077857,341577705.09212464
1601337600000,4.25191370645272,622352706.2677807,335772345.2750809
1601424000000,4.34148712066533,641030584.1185127,279012123.5261533
1601510400000,4.153261217519703,620840802.3152523,215900631.37764022
1601596800000,4.243965217954716,636514926.1406465,370977286.8729862
1601683200000,3.900844835698331,643770085.9726512,326043384.3933095
1601769600000,3.8944884468656493,704073930.1747521,212356215.25192958
1601856000000,3.7212077302504327,676286308.1652026,244544989.9204514
1601942400000,3.3215235896179327,604064456.4319453,298746894.4948947
1602028800000,2.692316035364427,484435475.7614607,384108414.06590426
1602115200000,2.9633106457240044,540709193.0312451,438926126.0949557
1602201600000,3.3087426484261653,603384806.4011482,487646893.72824025
1602288000000,3.4063702284741098,624766817.7307591,377780662.24262124
1602374400000,3.298512186270176,605086419.1414492,285868091.8782006
1602460800000,3.374035991243129,620284007.0059217,198779007.34591478
1602547200000,3.449721633623474,636858098.7676747,262845150.32599124
1602633600000,3.3499527005941827,619474718.5315651,156290894.7283672
1602720000000,3.122753139292542,577560863.213238,260812435.53290272
1602806400000,3.0775235695166816,573329621.3129594,223937288.66708416
1602892800000,3.0355792285330785,568053942.0466825,311404752.2546533
1602979200000,3.07277417246438,573608919.3394606,158485458.09938937
1603065600000,3.2660325602917597,658475452.6602299,153578565.9021965
1603152000000,3.1709281832503637,638986846.1577828,177367219.185632
1603238400000,2.8532854806443173,574630017.2192171,267899120.4802981
1603324800000,2.9310426313836624,590704390.9094771,242609502.30000964
1603411200000,3.0305303365473235,613902134.4513645,179057034.57620853
1603497600000,3.0087042083703275,608790596.9414719,157171970.1050009
1603584000000,2.941282437459054,594863487.4925164,114649947.17601904
1603670400000,2.772325304871374,582236710.6524885,138696963.62674186
1603756800000,2.7106759360451633,569460992.1533448,186029316.91562256
1603843200000,2.8171776525337426,595487146.8850842,188714502.28583327
1603929600000,2.6704541290239283,563330287.0275949,147809519.0275576
1604016000000,2.537363184849842,536652174.1634711,130705348.51051356
1604102400000,2.4099935458731143,509800102.67010105,219373066.75671974
1604188800000,2.261015576647059,479933274.3121692,112447743.3022698
1604275200000,2.3737984793597535,505102350.9126218,123598089.32183826
1604361600000,2.251773695538215,482105416.860576,129313651.14587164
1604448000000,2.137337380125421,459013051.13185984,106587850.41473934
1604534400000,1.9281765822237158,411540818.446762,118641534.8189223
1604620800000,2.206903889957113,472797950.4393272,344459948.36912775
1604707200000,2.5486901663521757,546090935.4543844,407112159.3484543
1604793600000,2.481258831059522,535529641.5250265,491671462.8606986
1604880000000,2.8768344518769315,620585818.9074469,278969229.5601973
1604966400000,2.6727746328917497,573849148.3657682,262312751.12296724
1605052800000,3.0499147801985553,656695052.9585853,285676579.766339
1605139200000,2.9375999867578084,630203163.1012877,290189822.8639477
1605225600000,2.9621343171056673,638318912.7352413,266553988.6727794
1605312000000,3.887205642398383,837054899.1487976,476124356.87531024
1605398400000,3.811713208353668,824295398.9563959,406943170.6587308
1605484800000,3.86646064978227,832451942.6779054,416448751.32485884
1605571200000,3.5777587515325266,770626828.1027259,418257582.48993695
1605657600000,3.8288876767125397,823469580.4665115,404729766.5233903
1605744000000,3.464279444082397,744366290.5439156,349115856.6319695
1605830400000,3.7292267083245254,801066288.3822533,371297515.18057406
1605916800000,3.841956262293396,823599938.8097627,451935722.0365768
1606003200000,3.8224979962539907,819420815.5549861,457778339.4355159
1606089600000,3.682139733095448,798274699.6803893,398423650.61119413
1606176000000,4.160502959398576,888267428.9186445,500339828.16504496
1606262400000,4.0532131930398485,875380216.1524823,494435418.46095675
1606348800000,3.6756591848236986,787449062.6068666,406380440.1326761
1606435200000,3.425366372063327,733369987.3925536,510984397.6844744
1606521600000,3.3209595672215624,713179854.7216576,315218115.1560552
1606608000000,3.462034852545152,743811283.7156703,183770822.29365265
1606694400000,3.5421268078675268,759264594.5007293,198301875.29683137
1606780800000,3.7534904564969676,809636090.5766013,280030160.1998901
1606867200000,3.5610328724095686,766671246.6754014,373303587.5576778
1606953600000,3.9717235369868873,857916550.9757915,406760837.4708671
1607040000000,3.8823259032595683,836700609.727124,274648451.3505504
1607126400000,3.53402576533193,757755073.8714986,221582896.3096745
1607212800000,3.6833395557210284,792687386.2649285,190879983.04395038
1607299200000,3.6384933556617765,781382593.6960821,185973044.77553254
1607385600000,3.760556589402304,808737480.205302,217578687.13042405
1607472000000,3.2913820712813653,715633175.911876,240351771.39920992
1607558400000,3.361203998549995,723460573.708362,229534248.81601888
1607644800000,3.2426462008000745,698376510.5489792,161320792.29777637
1607731200000,2.969937981631195,640057166.0529337,221350365.76760957
1607817600000,3.118612137908698,671894509.5713987,135658293.95547333
1607904000000,3.330154879105268,716172377.566087,153495615.07987532
1607990400000,3.4930335781541366,749375717.9281832,183939528.11184648
1608076800000,3.333949272776269,718477508.3040215,166152867.0011512
